DOI,Year Pub,Study,Species,n,Polymer,Density(g/cm^3),Diameter(µm),Radius(µm),[MP] ,Units,[mg/kg],Items/kg_SOIL,Volume,Volume cm3,Density*V,D*V*1000,mg/kg / (D*V*1000) = Items/kg,
https://doi.org/10.3390/ijms232214411,2022,Lab,Mice,32,Polystyrene (PS),1.05,5,2.5,10,mg/L,10,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,145513090.826876,
https://doi.org/10.1289/EHP12418,2022,Lab,Mice,84,Polystyrene (PS),1.05,0.5,0.25,100,ug/L,0.1,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,1455130908.26876,
https://doi.org/10.1289/EHP12418,2022,Lab,Mice,84,Polystyrene (PS),1.05,0.5,0.25,1000,ug/L,1,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,14551309082.6876,
https://doi.org/10.1289/EHP12418,2022,Lab,Mice,84,Polystyrene (PS),1.05,4,2,100,ug/L,0.1,,33.5103216382911,0.0000000000335103216382911,0.0000000000351858377202057,0.0000000351858377202057,2842052.55521242,
https://doi.org/10.1289/EHP12418,2022,Lab,Mice,84,Polystyrene (PS),1.05,4,2,1000,ug/L,1,,33.5103216382911,0.0000000000335103216382911,0.0000000000351858377202057,0.0000000351858377202057,28420525.5521242,
https://doi.org/10.1289/EHP12418,2022,Lab,Mice,84,Polystyrene (PS),1.05,10,5,100,ug/L,0.1,,523.598775598299,0.000000000523598775598299,0.000000000549778714378214,0.000000549778714378214,181891.363533595,
https://doi.org/10.1289/EHP12418,2022,Lab,Mice,84,Polystyrene (PS),1.05,10,5,1000,ug/L,1,,523.598775598299,0.000000000523598775598299,0.000000000549778714378214,0.000000549778714378214,1818913.63533595,
https://doi.org/10.1016/j.scitotenv.2022.155937,2022,Lab,Mice,32,Polysytrene (PS),1.05,5,2.5,20,mg/kg,20,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,291026181.653751,
https://doi.org/10.1016/j.scitotenv.2022.155937,2022,Lab,Mice,32,Polysytrene (PS),1.05,50,25,20,mg/kg,20,,65449.8469497874,0.0000000654498469497874,0.0000000687223392972768,0.0000687223392972768,291026.181653751,
https://doi.org/10.1016/j.scitotenv.2022.155937,2022,Lab,Mice,32,Polysytrene (PS),1.05,100,50,20,mg/kg,20,,523598.775598299,0.000000523598775598299,0.000000549778714378214,0.000549778714378214,36378.2727067189,
https://doi.org/10.1016/j.scitotenv.2022.155937,2022,Lab,Mice,32,Polysytrene (PS),1.05,200,100,20,mg/kg,20,,4188790.20478639,0.00000418879020478639,0.00000439822971502571,0.00439822971502571,4547.28408833987,
https://doi.org/10.1016/j.scitotenv.2022.156668,2022,Lab,Mice,49,Polysytrene (PS),1.05,5,2.5,100,ug/L,0.1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,1455130.90826876,
https://doi.org/10.1016/j.scitotenv.2022.156668,2022,Lab,Mice,49,Polysytrene (PS),1.05,5,2.5,1000,ug/L,1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,14551309.0826876,
https://doi.org/10.1016/j.ecoenv.2022.113809,2022,Lab,Mice,16,Polyvinyl Chloride (PVC),1.45,2,1,100,mg/kg,100,,4.18879020478639,0.00000000000418879020478639,0.00000000000607374579694027,0.00000000607374579694027,16464304457.7823,
https://doi.org/10.3390/ijerph192114093,2022,Lab,Mice,60,Polystyrene (PS),1.05,5,2.5,10,mg/L,10,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,145513090.826876,
https://doi.org/10.1186%2Fs12989-022-00453-2,2022,Lab,Mice,105,Polystyrene (PS),1.05,0.5,0.25,100,ug/L,0.1,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,1455130908.26876,
https://doi.org/10.1186%2Fs12989-022-00453-2,2022,Lab,Mice,105,Polystyrene (PS),1.05,0.5,0.25,1000,ug/L,1,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,14551309082.6876,
https://doi.org/10.1186%2Fs12989-022-00453-2,2022,Lab,Mice,105,Polystyrene (PS),1.05,4,2,100,ug/L,0.1,,33.5103216382911,0.0000000000335103216382911,0.0000000000351858377202057,0.0000000351858377202057,2842052.55521242,
https://doi.org/10.1186%2Fs12989-022-00453-2,2022,Lab,Mice,105,Polystyrene (PS),1.05,4,2,1000,ug/L,1,,33.5103216382911,0.0000000000335103216382911,0.0000000000351858377202057,0.0000000351858377202057,28420525.5521242,
https://doi.org/10.1186%2Fs12989-022-00453-2,2022,Lab,Mice,105,Polystyrene (PS),1.05,10,5,100,ug/L,0.1,,523.598775598299,0.000000000523598775598299,0.000000000549778714378214,0.000000549778714378214,181891.363533595,
https://doi.org/10.1186%2Fs12989-022-00453-2,2022,Lab,Mice,105,Polystyrene (PS),1.05,10,5,1000,ug/L,1,,523.598775598299,0.000000000523598775598299,0.000000000549778714378214,0.000000549778714378214,1818913.63533595,
https://doi.org/10.1289/EHP11072,2023,Lab,Mice,40,Polystyrene (PS),1.05,0.45–0.53,0.245,1000,ug/L,1,,0.0616008723503643,0.0000000000000616008723503643,0.0000000000000646809159678825,0.0000000000646809159678825,15460510801.9273,
https://doi.org/10.3389/fphys.2023.1072797,2023,Lab,Mice,60,Polyethylene (PE),0.96,0.1,0.05,6,ug/ml,6,,0.000523598775598299,0.000000000000000523598775598299,0.000000000000000502654824574367,0.000000000000502654824574367,11936620731892.1,
https://doi.org/10.3389/fphys.2023.1072797,2023,Lab,Mice,60,Polyethylene (PE),0.96,0.1,0.05,60,ug/ml,60,,0.000523598775598299,0.000000000000000523598775598299,0.000000000000000502654824574367,0.000000000000502654824574367,119366207318921,
https://doi.org/10.3389/fphys.2023.1072797,2023,Lab,Mice,60,Polyethylene (PE),0.96,0.1,0.05,600,ug/ml,600,,0.000523598775598299,0.000000000000000523598775598299,0.000000000000000502654824574367,0.000000000000502654824574367,1193662073189210,
https://doi.org/10.1016/j.ecoenv.2021.112340,2022,Lab,Mice,36,Polyethylene (PE),0.96,1–10,2.75,0.002,ug/g,0.002,,87.113746290167,0.000000000087113746290167,0.0000000000836291964385603,0.0000000836291964385603,23915.0928763179,
https://doi.org/10.1016/j.ecoenv.2021.112340,2022,Lab,Mice,36,Polyethylene (PE),0.96,1–10,2.75,0.2,ug/g,0.2,,87.113746290167,0.000000000087113746290167,0.0000000000836291964385603,0.0000000836291964385603,2391509.28763179,
https://doi.org/10.1016/j.jhazmat.2022.128431,2022,Lab,Mice,36,Polystyrene (PS),1.05,2,1,0.008,mg/g,8,,4.18879020478639,0.00000000000418879020478639,0.00000000000439822971502571,0.00000000439822971502571,1818913635.33595,
https://doi.org/10.1016/j.jhazmat.2022.128431,2022,Lab,Mice,36,Polystyrene (PS),1.05,2,1,0.016,mg/g,16,,4.18879020478639,0.00000000000418879020478639,0.00000000000439822971502571,0.00000000439822971502571,3637827270.67189,
https://doi.org/10.1016/j.toxlet.2020.01.008,2020,Lab,Mice,120,Polyethylene (PE),0.96,40-48,22,0.625,mg/mL,625,,44602.2381005655,0.0000000446022381005655,0.0000000428181485765429,0.0000428181485765429,14596614.3043932,
https://doi.org/10.1016/j.toxlet.2020.01.008,2020,Lab,Mice,120,Polyethylene (PE),0.96,40-48,22,2.5,mg/mL,2500,,44602.2381005655,0.0000000446022381005655,0.0000000428181485765429,0.0000428181485765429,58386457.2175729,
https://doi.org/10.1016/j.toxlet.2020.01.008,2020,Lab,Mice,120,Polyethylene (PE),0.96,40-48,22,10,mg/mL,10000,,44602.2381005655,0.0000000446022381005655,0.0000000428181485765429,0.0000428181485765429,233545828.870291,
https://doi.org/10.1016/j.chemosphere.2021.132579,2022,Lab,Mice,60,Polyethylene (PE),0.96,10-150,40,100,ug/mL,100,,268082.573106329,0.000000268082573106329,0.000000257359270182076,0.000257359270182076,388561.872782947,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polyethylene (PE),0.96,6.2,3.1,500,mg/kg,500,,124.788248990791,0.000000000124788248990791,0.000000000119796719031159,0.000000119796719031159,4173737010.86046,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polyethylene (PE),0.96,6.2,3.1,1000,mg/kg,1000,,124.788248990791,0.000000000124788248990791,0.000000000119796719031159,0.000000119796719031159,8347474021.72092,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polyethylene (PE),0.96,6.2,3.1,2000,mg/kg,2000,,124.788248990791,0.000000000124788248990791,0.000000000119796719031159,0.000000119796719031159,16694948043.4418,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polytetraflouroethylene (PET),2.2,6,3,500,mg/kg,500,,113.097335529233,0.000000000113097335529233,0.000000000248814138164313,0.000000248814138164313,2009532109.74614,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polytetraflouroethylene (PET),2.2,6,3,1000,mg/kg,1000,,113.097335529233,0.000000000113097335529233,0.000000000248814138164313,0.000000248814138164313,4019064219.49228,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polytetraflouroethylene (PET),2.2,6,3,2000,mg/kg,2000,,113.097335529233,0.000000000113097335529233,0.000000000248814138164313,0.000000248814138164313,8038128438.98457,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polyethylene (PE),0.96,27.2,13.6,500,mg/kg,500,,10536.7174533712,0.0000000105367174533712,0.0000000101152487552364,0.0000101152487552364,49430321.6953674,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polyethylene (PE),0.96,27.2,13.6,1000,mg/kg,1000,,10536.7174533712,0.0000000105367174533712,0.0000000101152487552364,0.0000101152487552364,98860643.3907348,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polyethylene (PE),0.96,27.2,13.6,2000,mg/kg,2000,,10536.7174533712,0.0000000105367174533712,0.0000000101152487552364,0.0000101152487552364,197721286.78147,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polytetraflouroethylene (PET),2.2,30.5,15.25,500,mg/kg,500,,14855.8717105097,0.0000000148558717105097,0.0000000326829177631213,0.0000326829177631213,15298511.7064484,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polytetraflouroethylene (PET),2.2,30.5,15.25,1000,mg/kg,1000,,14855.8717105097,0.0000000148558717105097,0.0000000326829177631213,0.0000326829177631213,30597023.4128967,
https://doi.org/10.1007/s43188-023-00172-6,2023,Lab,Mice,24,Polytetraflouroethylene (PET),2.2,30.5,15.25,2000,mg/kg,2000,,14855.8717105097,0.0000000148558717105097,0.0000000326829177631213,0.0000326829177631213,61194046.8257934,
https://doi.org/10.1016/j.envint.2022.107391,2022,Lab,Mice,48,Polystyrene (PS),1.05,5,2.5,0.012,mg/kg,0.012,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,174615.708992251,
https://doi.org/10.1016/j.chemosphere.2021.132631,2022,Lab,Mice,65,Polystyrene (PS),1.05,0.6,0.3,25,mg/mL,25000,,0.113097335529233,0.000000000000113097335529233,0.000000000000118752202305695,0.000000000118752202305695,210522411497215,
https://doi.org/10.1016/j.chemosphere.2021.132631,2022,Lab,Mice,65,Polystyrene (PS),1.05,4,2,25,mg/mL,25000,,33.5103216382911,0.0000000000335103216382911,0.0000000000351858377202057,0.0000000351858377202057,710513138803.104,
https://doi.org/10.1016/j.chemosphere.2021.132631,2022,Lab,Mice,65,Polystyrene (PS),1.05,0.3,0.15,25,mg/mL,25000,,0.0141371669411541,0.0000000000000141371669411541,0.0000000000000148440252882118,0.0000000000148440252882118,1684179291977730,
